D1D2D3D4D5D6D7D8D9D10D11	path
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/_shared/glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/01-overview.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/02-glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/03-personas.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/04-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/05-user-journeys.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/06-page-specs/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/06-page-specs/P-admin-discover-china-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/06-page-specs/P-admin-discover-china-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/06-page-specs/P-admin-discover-china-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/06-page-specs/P-admin-discover-china-004.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/07-business-rules.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/08-roles-permissions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/09-design-summary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/10-known-issues.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/11-changelog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/admin/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/01-overview.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/02-glossary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/03-personas.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/04-feature-catalog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/05-user-journeys.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/06-page-specs/00-index.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/06-page-specs/P-app-discover-china-001.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/06-page-specs/P-app-discover-china-002.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/06-page-specs/P-app-discover-china-003.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/07-business-rules.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/08-roles-permissions.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/09-design-summary.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/10-known-issues.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/11-changelog.md
✓✓✓✓✓✓✓✓✓✓✓	docs/C06-prd/discover-china/app/99-open-questions.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/A-framework/A00-00-README.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/A-framework/A00-01-框架总览.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/A-framework/A00-02-端到端工作流.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/A-framework/A00-03-通用约定.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/A-framework/A00-04-文档目录规划.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/B-foundation/B01-A01-用户输入-技术偏好.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/B-foundation/B01-A02-AI澄清-架构提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/B-foundation/B01-A03-AI输出-架构规范.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/B-foundation/B02-X01-用户输入-体验风格.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/B-foundation/B02-X02-AI澄清-体验提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/B-foundation/B02-X03-AI输出-体验定调.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/B-foundation/B03-S01-用户输入-视觉偏好.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/B-foundation/B03-S02-AI澄清-视觉提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/B-foundation/B03-S03-AI输出-设计系统.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C01-R01-用户输入-需求初稿.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C01-R02-AI澄清-需求提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C01-R03-AI输出-需求基线.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C02-P01-用户输入-角色描述.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C02-P02-AI澄清-权限提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C02-P03-AI输出-权限规范.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C03-I01-用户输入-信息架构方向.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C03-I02-AI澄清-信息架构提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C03-I03-AI输出-信息架构.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C04-N01-用户输入-页面描述.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C04-N02-AI澄清-交互提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C04-N03-AI输出-页面交互规范.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C05-H01-用户输入-原型方向.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C05-H02-AI澄清-原型提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C05-H03-AI输出-HTML原型规范.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C06-E01-用户输入-产品背景.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C06-E02-AI澄清-PRD提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/C-product/C06-E03-AI输出-产品需求文档.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/D-develop/D01-D01-用户输入-数据规则.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/D-develop/D01-D02-AI澄清-数据提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/D-develop/D01-D03-AI输出-数据规范.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/D-develop/D02-L01-用户输入-操作逻辑.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/D-develop/D02-L02-AI澄清-接口提问.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/D-develop/D02-L03-AI输出-接口规范.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/D-develop/D03-V01-AI输出-上游链一致性.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/D-develop/D03-V02-AI输出-模块内闭环.md
✓✓✓✓✓✓✓✓✓✓✓	prompt/D-develop/D03-V03-AI输出-PRD回链校验.md
